instancia_id,algoritmo,num_OT,num_tareas,tareas_ejecutadas,tareas_rechazadas,makespan,carga_total,carga_std
inst_0,AG,8,40,30,10,348,718,114.6947639994472
inst_0,SPT,8,40,37,3,230,937,44.23389825803329
inst_1,AG,12,63,39,24,400,921,119.21245478136922
inst_1,SPT,12,63,46,17,220,1119,53.671593976702425
inst_2,AG,6,31,19,12,250,449,80.57381019220134
inst_2,SPT,6,31,25,6,203,639,29.86113695089321
inst_3,AG,9,45,32,13,254,743,74.39744344960205
inst_3,SPT,9,45,41,4,198,1008,44.58280685047394
inst_4,AG,6,24,19,5,235,422,79.31355495752287
inst_4,SPT,6,24,21,3,137,459,27.56003547812585
inst_5,AG,11,46,32,14,367,767,104.61529226169566
inst_5,SPT,11,46,36,10,198,884,45.75356695263101
inst_6,AG,5,19,14,5,117,296,37.39197774924455
inst_6,SPT,5,19,16,3,131,372,16.777961735562517
inst_7,AG,12,61,43,18,301,1051,93.90157705192978
inst_7,SPT,12,61,51,10,238,1351,59.78708969125358
inst_8,AG,10,43,30,13,283,689,87.43345684004493
inst_8,SPT,10,43,33,10,192,802,37.078370454424714
inst_9,AG,11,50,32,18,289,698,99.65614350744018
inst_9,SPT,11,50,35,15,198,758,58.549830440643454
inst_10,AG,6,23,15,8,151,345,46.678867452699265
inst_10,SPT,6,23,17,6,114,391,22.799176939876634
inst_11,AG,5,20,13,7,83,239,26.90278795961489
inst_11,SPT,5,20,17,3,132,339,19.331063085097
inst_12,AG,6,29,16,13,137,357,52.442730668797175
inst_12,SPT,6,29,21,8,152,503,22.09109614585976
inst_13,AG,8,39,22,17,197,496,64.803977930028
inst_13,SPT,8,39,29,10,172,662,33.61195194584015
inst_14,AG,10,53,28,25,179,624,56.17174829148946
inst_14,SPT,10,53,33,20,151,749,38.170746877154016
inst_15,AG,4,19,11,8,120,241,40.92540639857946
inst_15,SPT,4,19,13,6,132,306,14.352700094407323
inst_16,AG,12,55,37,18,233,835,76.82415386637167
inst_16,SPT,12,55,43,12,222,1026,54.545431354354996
inst_17,AG,9,42,24,18,221,613,65.53231550159052
inst_17,SPT,9,42,31,11,153,810,29.866369046136157
inst_18,AG,4,21,10,11,123,233,34.31552936434983
inst_18,SPT,4,21,13,8,106,305,11.259015591905246
inst_19,AG,4,24,14,10,210,343,75.97491362285317
inst_19,SPT,4,24,19,5,159,462,16.991976716299746
